Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112052933,retinol dehydrogenase 11-like,CG2064,1907.76665,-3.983132677,2.83E-151,3.983132677
LOC112051387,ATP-binding cassette sub-family D member 2,ABCD,977.5977062,-2.592077449,2.58E-150,2.592077449
LOC112056093,chorion class B protein B.L1-like isoform X1,LOC112056093,8005.815451,-12.93463509,3.05E-150,12.93463509
LOC112043934,hrp65 protein-like,nonA,14408.16496,1.022754322,1.38E-149,-1.022754322
LOC112043864,protein prune homolog 2 isoform X2,CG11593,952.2211992,-2.728840342,3.92E-149,2.728840342
LOC112046259,uncharacterized protein LOC112046259,LOC112046259,1121.848411,-7.366550018,1.70E-148,7.366550018
LOC112053206,sn1-specific diacylglycerol lipase beta isoform X1,inaE,810.6663119,-2.774197486,3.10E-148,2.774197486
LOC112042857,protein takeout,CG2016,5703.417404,5.76452599,4.36E-148,-5.76452599
LOC112051874,transcription factor SPT20 homolog isoform X2,CG8192,31848.21022,-6.864637592,5.12E-148,6.864637592
LOC112052334,S-adenosylhomocysteine hydrolase-like protein 1 isoform X1,AhcyL1,884.6414872,-5.942028323,1.93E-147,5.942028323
LOC112044778,UNC93-like protein MFSD11,CG18549,6906.841887,-4.9198146,3.35E-147,4.9198146
LOC112044142,fasciclin-2 isoform X1,Fas2,7719.437466,2.27594953,1.38E-146,-2.27594953
LOC112043682,myosin-2 essential light chain isoform X1,Mlc-c,57738.89916,-2.901713593,3.66E-146,2.901713593
LOC112057758,peroxidase,HPX5,1964.035027,-10.14242282,4.44E-145,10.14242282
LOC112050396,histone H2A.V,His2Av,9365.364545,1.639321763,5.96E-145,-1.639321763
LOC112048705,polypeptide N-acetylgalactosaminyltransferase 2-like,Pgant2,1592.750512,-4.616906834,9.92E-144,4.616906834
LOC112054473,bromodomain-containing protein DDB_G0280777-like,LOC112054473,1682.633014,-5.235334211,1.14E-142,5.235334211
LOC112047937,Transforming growth factor-beta-induced protein ig-h3,CG43333,3001.165448,-10.2513855,6.04E-141,10.2513855
LOC112048204,polyhomeotic-like protein 3,Samuel,999.7126539,2.648916015,7.83E-140,-2.648916015
LOC112043847,transcription factor SOX-11 isoform X1,CG32694,25518.68127,-9.575035576,9.48E-140,9.575035576
LOC112054501,G1/S-specific cyclin-D3,CycD,3640.288065,2.97024802,3.22E-139,-2.97024802
LOC112046088,phospholipid transfer protein C2CD2L isoform X5,CG10737,4060.913112,-4.203686223,1.34E-138,4.203686223
LOC112043224,zinc finger CCCH domain-containing protein 13,CG8740,12537.08091,-3.37902721,1.57E-138,3.37902721
LOC112058087,tyrosine-protein kinase-like otk,otk,973.3384306,2.997537572,4.26E-138,-2.997537572
LOC112051025,protein limb expression 1 homolog isoform X1,lft,24341.48335,3.414244103,1.17E-137,-3.414244103
LOC112049937,"glucose dehydrogenase [FAD, quinone]",CG9518,1603.385885,-9.534126913,1.39E-137,9.534126913
LOC112048920,alpha-tocopherol transfer protein-like,LOC112048920,822.213067,-5.147929842,2.62E-136,5.147929842
LOC112043015,uncharacterized protein LOC112043015 isoform X1,LOC112043015,6812.800957,-13.07148113,2.73E-136,13.07148113
LOC112050906,general transcriptional corepressor trfA-like,LOC112050906,2578.257847,4.568029402,3.22E-136,-4.568029402
LOC112048387,PR domain zinc finger protein 1 isoform X1,Blimp-1,4011.006688,11.14729427,2.15E-135,-11.14729427
LOC112049719,chorion b-ZIP transcription factor,LOC112049719,8385.516535,-2.009765937,3.31E-135,2.009765937
LOC112050816,"histone H2A, sperm-like",His2A:CG31618,1081.175261,3.480514419,9.50E-135,-3.480514419
LOC112054560,transcription factor Ken,ken,1179.693274,-4.097014901,4.37E-134,4.097014901
LOC112043325,lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog,CG13516,1689.803919,-2.261346868,5.68E-134,2.261346868
LOC112048461,connectin-like,Con,1976.866953,-5.626550522,9.36E-134,5.626550522
LOC112049905,"uncharacterized protein LOC112049905, partial",LOC112049905,2595.183745,-6.356437551,9.88E-134,6.356437551
LOC112046899,putative cyclin-dependent serine/threonine-protein kinase DDB_G0272797/DDB_G0274007 isoform X2,LOC112046899,5229.111059,-11.87564232,3.76E-133,11.87564232
LOC112058397,phospholipase A2 like protein,LOC112058397,5139.599414,-12.4552292,1.59E-132,12.4552292
LOC112055991,major facilitator superfamily domain-containing protein 12-like isoform X1,LOC112055991,527.218191,-6.572509558,2.54E-132,6.572509558
LOC112048615,protein takeout-like,to,4658.831703,-6.497304506,1.51E-130,6.497304506
LOC112044991,cuticle protein 16.5-like,LOC112044991,12919.02645,-14.18679864,3.83E-130,14.18679864
LOC112043645,TKX27928.1 cuticular protein lCPAP1-B,CG14301,322.622383,-5.140252897,5.58E-130,5.140252897
LOC112047983,fatty acid-binding protein-like,LOC112047983,14965.31813,-4.477449736,3.69E-129,4.477449736
LOC112056193,heme peroxidase 2,DBLOX,3298.295535,-8.325008091,4.53E-129,8.325008091
LOC112058283,sodium-coupled monocarboxylate transporter 1-like,SLC5A11,993.6746262,-4.04921819,1.24E-128,4.04921819
LOC112058517,"solute carrier family 2, facilitated glucose transporter member 1-like",Glut1-,1425.768338,3.669144031,1.51E-128,-3.669144031
LOC112050527,RNA-binding protein Nova-2 isoform X4,ps,9195.810818,-2.632050268,4.53E-127,2.632050268
LOC112049720,tyrosine 3-monooxygenase,Th,7719.721868,-9.320540818,1.50E-126,9.320540818
LOC112043827,XP_026483179.1 mucin-3A,thw,2338.850526,-3.883277419,1.79E-126,3.883277419
LOC112057887,formin-like protein CG32138 isoform X1,Frl,1435.661437,-2.707565041,5.58E-125,2.707565041
LOC112048007,chaoptin isoform X4,chp,2465.52264,-5.543702103,3.92E-124,5.543702103
LOC112043773,WD repeat domain phosphoinositide-interacting protein 2 isoform X1,Atg18a,1065.861672,-1.742249119,6.04E-124,1.742249119
LOC112051473,NA,NA,418.2718094,-3.818871402,9.80E-123,3.818871402
LOC112056371,uncharacterized LOC106116239 precursor,Osi2,2593.425059,-5.936916209,3.26E-122,5.936916209
LOC112050005,uncharacterized protein LOC112050005,LOC112050005,459.2161159,-4.941883926,8.43E-122,4.941883926
LOC112050744,"very long-chain specific acyl-CoA dehydrogenase, mitochondrial",CG7461,3162.658702,-1.7370759,9.95E-121,1.7370759
LOC112049058,protein yellow-like,yel-x,1358.394693,-5.070559603,1.39E-120,5.070559603
LOC112056638,cathepsin O-like,LOC112056638,4609.077324,-2.513437688,2.15E-120,2.513437688
LOC112052810,putative fatty acyl-CoA reductase CG5065,CG5065,9148.504498,-13.50928666,4.03E-120,13.50928666
LOC112043917,formin-like protein 6 isoform X1,capu,1407.011537,2.200643499,7.62E-120,-2.200643499
LOC112050432,nostrin isoform X1,Nost,1152.079127,-3.169493384,1.63E-119,3.169493384
LOC112047062,myb-like protein AA,CG12964,10490.15428,-6.940117803,2.26E-119,6.940117803
LOC112052484,alpha-tocopherol transfer protein-like,CG10026,1884.20206,-3.525288215,1.76E-118,3.525288215
LOC112053799,ETS homologous factor-like,LOC112053799,936.782245,-3.152201613,1.89E-118,3.152201613
LOC112044155,circadian clock-controlled protein-like,CG10264,2142.525644,-9.665949486,2.87E-118,9.665949486
LOC112051710,condensin complex subunit 1,Cap-D2,815.0674016,4.123570567,3.60E-118,-4.123570567
LOC112043722,elongation of very long chain fatty acids protein AAEL008004,CG31522,7274.530003,-8.157603784,5.40E-118,8.157603784
LOC112050340,E3 ubiquitin-protein ligase RNF19B-like,LOC112050340,1369.583965,-2.617639926,7.44E-118,2.617639926
LOC112048291,piezo-type mechanosensitive ion channel component isoform X1,Piezo,6639.158451,-4.121194415,2.77E-117,4.121194415
LOC112054507,probable serine/threonine-protein kinase DDB_G0282963 isoform X1,Svil-,1869.666564,-2.699578937,2.97E-117,2.699578937
LOC112055331,protein obstructor-E-like,Cpap3-a2,3471.225316,-4.830372451,9.99E-117,4.830372451
LOC112049256,proton-coupled amino acid transporter-like protein CG1139,CG7888,1969.114039,-2.997152521,2.48E-116,2.997152521
LOC112051145,scavenger receptor class B member 1,SCRB3,1328.470524,-10.01613324,4.26E-116,10.01613324
LOC112053130,apyrase-like,CG42249,694.6660557,-8.159293525,1.26E-114,8.159293525
LOC112057692,uncharacterized protein LOC112057692,LOC112057692,694.6184592,3.954124609,1.80E-113,-3.954124609
LOC112044491,thymosin beta isoform X3,cib,59777.02858,-1.929640049,4.09E-113,1.929640049
LOC112049980,pupal cuticle protein-like,LOC112049980,20148.76434,-15.23648325,5.10E-113,15.23648325
LOC112048643,proton-coupled amino acid transporter-like protein pathetic,CG8785,5078.917183,-2.859251444,1.89E-112,2.859251444
LOC112048512,V-type proton ATPase 116 kDa subunit a,Vha100-2,4102.795852,-3.551036404,5.46E-112,3.551036404
LOC112049938,glutathione S-transferase 1-1,gfzf,1248.019731,-2.995214265,1.32E-111,2.995214265
LOC112046929,angiotensin-converting enzyme-like,LOC112046929,2148.797727,-3.446265905,3.10E-111,3.446265905
LOC112056322,cuticle protein 8-like,Cpr64Aa,50048.20584,-16.97857963,3.57E-111,16.97857963
LOC112051341,circadian clock-controlled protein-like,LOC112051341,1256.787635,-10.20755152,3.85E-111,10.20755152
LOC112045288,uncharacterized protein LOC112045288,CG15601,340.084293,3.882698819,6.28E-111,-3.882698819
LOC112044889,phospholipase A1 member A-like,CG18641,1594.308381,-10.68602647,8.59E-111,10.68602647
LOC112051179,uncharacterized LOC106113675 precursor,CG5928,3411.788796,-8.562024236,1.19E-109,8.562024236
LOC112049677,putative inorganic phosphate cotransporter,dmGlut,731.2727103,-8.290803735,2.66E-109,8.290803735
LOC112049113,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",fw,1566.232909,-2.503511147,2.72E-109,2.503511147
LOC112055566,uncharacterized protein LOC112055566 isoform X1,LOC112055566,2455.688631,-4.447793162,9.28E-109,4.447793162
