Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC,eyespot
LOC112049886,"actin, cytoplasmic A3a",Act5C,726.2711126,1.832308012,3.11E-13,-1.832308012,NA
LOC112047493,uncharacterized protein LOC112047493,LOC112047493,241.3861644,-1.15635014,3.17E-13,1.15635014,NA
LOC112054844,ras-related and estrogen-regulated growth inhibitor-like protein,CG8519,2977.075356,-0.789835059,3.81E-13,0.789835059,NA
LOC112042812,uncharacterized protein LOC112042812,LOC112042812,198.7250607,-1.25086384,4.04E-13,1.25086384,NA
LOC112055331,protein obstructor-E-like,Cpap3-a2,559.4131325,1.40425973,4.14E-13,-1.40425973,eyespot_down
LOC112055203,tubulin-specific chaperone D,TBCD,415.914417,0.994506038,4.53E-13,-0.994506038,NA
LOC112046050,sodium/calcium exchanger regulatory protein 1,fabp,28499.9156,-0.575661156,5.40E-13,0.575661156,NA
LOC112043100,pollen-specific leucine-rich repeat extensin-like protein 1,CG8927,2473.678856,2.755989738,5.73E-13,-2.755989738,NA
LOC112044675,heterogeneous nuclear ribonucleoprotein 27C isoform X1,LOC112044675,1233.391522,-0.689590721,6.02E-13,0.689590721,NA
LOC112050980,NA,NA,209.7073059,-2.058588989,7.44E-13,2.058588989,NA
LOC112045494,carbohydrate sulfotransferase 11,CG31743,361.5074337,-0.730166701,7.86E-13,0.730166701,NA
LOC112047567,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,CG10465,986.8843442,-0.726295359,8.38E-13,0.726295359,NA
LOC112048072,probable chitinase 10,Cht7,1569.064734,0.859320228,8.38E-13,-0.859320228,NA
LOC112051327,lysine-specific demethylase 3B,JHDM2,10770.6525,0.579822993,8.38E-13,-0.579822993,eyespot_up
LOC112043690,THUMP domain-containing protein 1 homolog,CG15014,750.9201517,-0.674559471,8.61E-13,0.674559471,NA
LOC112045935,transcription factor CP2 isoform X1,gem,3734.290288,0.666645834,8.96E-13,-0.666645834,NA
LOC112044841,augmin complex subunit dgt3,LOC112044841,577.9921036,-0.821217095,9.18E-13,0.821217095,NA
LOC112049140,uncharacterized protein LOC112049140 isoform X1,LOC112049140,4115.606736,-0.715967568,9.20E-13,0.715967568,NA
LOC112044586,ATP-binding cassette sub-family G member 4-like,CG3164,351.0622417,0.839839771,9.27E-13,-0.839839771,NA
LOC112050244,26S proteasome regulatory subunit 8,Rpt6,6080.515821,-0.344832917,1.05E-12,0.344832917,eyespot_down
LOC112044825,pachytene checkpoint protein 2 homolog,pch2,1114.650103,-1.038032479,1.05E-12,1.038032479,NA
LOC112050647,nucleolar MIF4G domain-containing protein 1 homolog,CG9004,1820.349986,-0.456387231,1.05E-12,0.456387231,eyespot_down
LOC112051683,RNA-binding protein 34-like isoform X2,LOC112051683,1020.524658,-0.756152965,1.05E-12,0.756152965,NA
LOC112046054,zinc transporter 1,ZnT77C,479.0353936,-1.272019109,1.06E-12,1.272019109,eyespot_up
LOC112054205,uncharacterized protein LOC112054205,LOC112054205,8744.489948,1.531135494,1.18E-12,-1.531135494,eyespot_down
LOC112053628,motile sperm domain-containing protein 2-like,CG33523,470.4393761,0.810198344,1.19E-12,-0.810198344,NA
LOC112054998,26S proteasome non-ATPase regulatory subunit 1,Rpn2,12931.87277,-0.331581137,1.41E-12,0.331581137,NA
LOC112047758,DNA-binding protein Ets97D isoform X1,Ets97D,426.3788366,1.047130941,1.47E-12,-1.047130941,NA
LOC112050069,angiotensin-converting enzyme-like,Ance-3,7926.722047,1.057060035,1.47E-12,-1.057060035,NA
LOC112055966,putative harmonin,CG5921,1703.971901,-0.455990068,1.47E-12,0.455990068,NA
LOC112058362,chromosome-associated kinesin KIF4,kinesin-4B,2879.904861,-0.926877994,1.52E-12,0.926877994,NA
LOC112053789,N-acetyltransferase eco,eco,594.1946216,-0.735134654,1.66E-12,0.735134654,NA
LOC112045801,H/ACA ribonucleoprotein complex subunit 4,Nop60B,8178.247594,-0.465679565,1.90E-12,0.465679565,NA
LOC112057710,serine proteinase stubble,CLIPA15,3211.385396,1.470055158,1.97E-12,-1.470055158,NA
LOC112045661,disks large-associated protein 5 isoform X2,mars,1121.862581,-1.099488846,2.06E-12,1.099488846,NA
LOC112047603,vacuolar protein sorting-associated protein 37A-like,mod(r),454.6926852,-0.63238076,2.13E-12,0.63238076,NA
LOC112048147,28 kDa heat- and acid-stable phosphoprotein,CG11444,2971.628482,-0.427979072,2.28E-12,0.427979072,NA
LOC112052236,nucleolar complex protein 2 homolog,CG9246,3037.176629,-0.563446398,2.28E-12,0.563446398,NA
LOC112055679,"KH domain-containing, RNA-binding, signal transduction-associated protein 2-like isoform X1",qkr54B,6647.941125,-0.507778576,2.41E-12,0.507778576,NA
LOC112045239,probable ribonuclease ZC3H12B isoform X2,Regnase-1,753.9553675,0.58752482,2.59E-12,-0.58752482,NA
LOC112047184,ubiquitin carboxyl-terminal hydrolase 14,Usp14,3324.872128,-0.499904861,2.81E-12,0.499904861,NA
LOC112058011,UDP-glucose 4-epimerase-like,Gale,7002.577032,0.717425918,2.87E-12,-0.717425918,NA
LOC112055201,protein FAM76A isoform X2,CG4452,483.6845866,0.730255182,2.94E-12,-0.730255182,NA
LOC112053451,Serine proteinase stubble,CG40160,10209.03816,1.30776084,3.07E-12,-1.30776084,NA
LOC112050915,RING-box protein 2,Roc2,317.1808105,-0.849161513,3.09E-12,0.849161513,NA
LOC112050151,TFIIH basal transcription factor complex helicase XPD subunit,Xpd,2092.942792,-0.474697678,3.16E-12,0.474697678,NA
LOC112050131,Peptidyl-alpha-hydroxyglycine alpha-amidating lyase 1,LOC112050131,9380.69288,0.32311882,3.81E-12,-0.32311882,NA
LOC112045456,protein inturned,in,1506.406667,-0.440519201,4.30E-12,0.440519201,NA
LOC112045264,enhancer of split mbeta protein-like,HLHmgamma,1452.087759,1.005893609,4.74E-12,-1.005893609,NA
LOC112047020,formin-like protein 5 isoform X3,Thd1,3651.439622,-0.573057327,4.91E-12,0.573057327,NA
LOC112051272,survival of motor neuron-related-splicing factor 30,CG17454,1339.621668,-0.536637816,5.07E-12,0.536637816,NA
LOC112043030,Serine/threonine-protein kinase SBK1,LOC112043030,1455.778113,-0.879739568,5.15E-12,0.879739568,NA
LOC112056217,borealin isoform X1,LOC112056217,573.3150782,-1.189576354,5.22E-12,1.189576354,NA
LOC112050049,profilin,chic,34685.02941,-0.31081082,6.19E-12,0.31081082,eyespot_down
LOC112055389,delta-like protein 1 isoform X1,C901,1456.516644,1.530613429,7.53E-12,-1.530613429,NA
LOC112053706,GAS2-like protein 3,pigs,1170.244198,-0.872699764,8.21E-12,0.872699764,NA
LOC112050198,glycogenin-2-like isoform X6,Gyg,889.0145487,-0.908755497,8.35E-12,0.908755497,eyespot_down
LOC112045697,uncharacterized protein LOC112045697,LOC112045697,547.4712256,-1.251823296,8.78E-12,1.251823296,NA
LOC112056674,zinc finger protein 37-like,LOC112056674,510.3989023,0.730351623,9.71E-12,-0.730351623,NA
LOC112050744,"very long-chain specific acyl-CoA dehydrogenase, mitochondrial",CG7461,2304.223095,0.504386222,9.73E-12,-0.504386222,NA
LOC112053742,aspartyl/asparaginyl beta-hydroxylase isoform X1,Asph,1590.943853,-0.466575371,1.00E-11,0.466575371,eyespot_up
LOC112057836,uncharacterized protein LOC112057836,CG4281,855.1509686,0.507341176,1.05E-11,-0.507341176,NA
LOC112047486,uncharacterized protein LOC112047486,LOC112047486,206.639878,1.399557972,1.07E-11,-1.399557972,NA
LOC112050339,trypsin-1-like,tpr,5727.549141,1.007928907,1.09E-11,-1.007928907,NA
