Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112044998,putative ly-6/neurotoxin superfamily member 1,LOC112044998,23385.85095,-4.402883963,6.18E-107,4.402883963
LOC112043179,putative leucine-rich repeat-containing protein DDB_G0290503,LOC112043179,2211.853145,5.29490721,2.75E-106,-5.29490721
LOC112053392,uncharacterized LOC106128526,LOC112053392,908.8956443,4.203356741,4.41E-106,-4.203356741
LOC112052949,sphingomyelin phosphodiesterase 4,CG6962,655.2015179,2.569386478,2.36E-105,-2.569386478
LOC112044504,lysosomal aspartic protease,cathD,5868.202347,-2.214993934,2.39E-105,2.214993934
LOC112058550,chitin deacetylase 2a,verm,135476.6191,-6.18511234,2.61E-105,6.18511234
LOC112043300,multidrug resistance-associated protein 4-like isoform X2,CG5789,10587.75564,6.816863094,7.16E-105,-6.816863094
LOC112056277,aurora kinase B-like,aurB,954.2675013,5.761100054,1.41E-104,-5.761100054
LOC112043483,tropomodulin-1 isoform X3,tmod,16934.61775,-4.814278693,1.46E-104,4.814278693
LOC112048138,uncharacterized protein LOC112048138,LOC112048138,2896.9146,-5.764546574,1.80E-104,5.764546574
LOC112052551,pollen-specific leucine-rich repeat extensin-like protein 1,TwdlE,2384.474458,-9.345385627,5.76E-104,9.345385627
LOC112053734,uncharacterized LOC106124388 precursor,LOC112053734,4419.565253,4.682568915,1.88E-102,-4.682568915
LOC112043153,puromycin-sensitive aminopeptidase,Psa,5380.983872,-2.7185865,4.17E-102,2.7185865
LOC112055294,GPI mannosyltransferase 3,PIG-B,1136.879949,3.075700121,7.38E-102,-3.075700121
LOC112054846,atrial natriuretic peptide-converting enzyme,CG1632,4784.83403,-3.664347713,2.21E-101,3.664347713
LOC112053778,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Hmgcr,5534.03744,-3.903762965,3.11E-100,3.903762965
LOC112057832,UDP-glucuronosyltransferase 2C1,Ugt50B3,7439.265531,-10.91676456,3.45E-100,10.91676456
LOC112044325,bromodomain-containing protein DDB_G0280777-like,LOC112044325,29195.13605,-10.32999348,4.06E-100,10.32999348
LOC112048423,uncharacterized protein LOC112048423,CG14395,4390.701655,-8.341396966,1.41E-99,8.341396966
LOC112046533,protein MIS12 homolog,LOC112046533,494.3562641,5.034030994,2.93E-99,-5.034030994
LOC112056469,protein scabrous,sca,862.6148694,5.070661606,1.72E-98,-5.070661606
LOC112058252,centrosomin isoform X1,cnn,2202.632956,4.094363364,1.49E-97,-4.094363364
LOC112058283,sodium-coupled monocarboxylate transporter 1-like,SLC5A11,768.3973071,-3.475089006,3.84E-97,3.475089006
LOC112056230,neurogenic protein mastermind-like isoform X1,mam,5207.561772,-2.526770674,7.97E-97,2.526770674
LOC112054183,cullin-associated NEDD8-dissociated protein 1,Cand1,3333.093945,1.955895939,1.79E-96,-1.955895939
LOC112046003,DNA-binding protein Ikaros isoform X1,CG12769,570.7352504,-2.212058179,2.70E-96,2.212058179
LOC112054964,larval cuticle protein F1-like,LOC112054964,252754.7183,-22.25568846,3.14E-96,22.25568846
LOC112049616,very long-chain-fatty-acid--CoA ligase bubblegum isoform X1,bgm,1491.809408,-6.685665558,7.80E-96,6.685665558
LOC112058087,tyrosine-protein kinase-like otk,otk,1385.001959,5.041958014,9.11E-96,-5.041958014
LOC112054114,alpha-N-acetylgalactosaminidase isoform X2,CG5731,47335.00636,-7.586252688,1.03E-95,7.586252688
LOC112048887,uncharacterized protein LOC112048887 isoform X1,LOC112048887,1956.43783,4.513018777,1.80E-95,-4.513018777
LOC112048615,protein takeout-like,to,5996.080162,-6.880070831,2.10E-95,6.880070831
LOC112054669,alpha-crystallin A chain-like,l(2)efl,4890.3221,4.655643702,3.55E-95,-4.655643702
LOC112045994,cyclin-A2-like,CycA,3602.450413,4.073000391,6.13E-95,-4.073000391
LOC112045661,disks large-associated protein 5 isoform X2,mars,1694.137374,4.463832312,1.26E-94,-4.463832312
LOC112052365,kinase D-interacting substrate of 220 kDa B isoform X1,CG42672,643.6070648,2.770965667,1.45E-94,-2.770965667
LOC112054673,protein lethal(2)essential for life-like,LOC112054673,21316.05955,-6.939798596,1.98E-94,6.939798596
LOC112049100,protein MLP1-like isoform X1,LOC112049100,448.3175039,5.729810462,2.39E-94,-5.729810462
LOC112043847,transcription factor SOX-11 isoform X1,CG32694,30202.1575,-8.952221016,2.72E-94,8.952221016
LOC112056035,GRIP domain-containing protein RUD3-like,LOC112056035,601.2200219,5.378227497,3.20E-94,-5.378227497
LOC112046962,putative G-protein coupled receptor 158,CG31195,1817.67355,1.846211399,5.01E-94,-1.846211399
LOC112049620,C-Maf-inducing protein-like,LOC112049620,572.7707909,-4.680341786,1.61E-93,4.680341786
LOC112048190,angiopoietin-related protein 2,CG41520,25465.67602,-6.79660422,2.30E-93,6.79660422
LOC112053042,uncharacterized protein LOC112053042,LOC112053042,2905.460232,-6.616957728,1.06E-92,6.616957728
LOC112053423,fatty-acid amide hydrolase 2-B,CG8839,827.3612435,-2.200894371,1.06E-92,2.200894371
LOC112045378,repetitive proline-rich cell wall protein,LOC112045378,231975.6293,-12.70304105,1.38E-92,12.70304105
LOC112053910,modular serine protease-like,Sp212,832.2119815,4.080072195,2.74E-92,-4.080072195
LOC112050532,high affinity copper uptake protein 1-like,Ctr1A,5191.913125,-4.285460216,2.92E-92,4.285460216
LOC112047647,golgin subfamily A member 6-like protein 22,CG12164,211725.3202,-14.75228726,1.47E-91,14.75228726
LOC112045307,protein wntless,wls,1774.342017,2.630557585,3.64E-91,-2.630557585
LOC112047003,calsyntenin-1,Cals,9338.961956,1.226179676,7.47E-91,-1.226179676
LOC112047875,la-related protein 6,Achl,16242.27428,-9.537719593,9.58E-91,9.537719593
LOC112055615,achaete-scute complex protein T3-like,l(1)sc,502.4811102,5.013288944,3.45E-90,-5.013288944
LOC112043986,retinol dehydrogenase 14,CG7675,1390.451023,-8.694703078,4.01E-90,8.694703078
LOC112046723,nuclear pore complex protein Nup205,Nup205,2303.85694,3.344901958,8.50E-90,-3.344901958
LOC112046671,neural-cadherin isoform X2,CadN,543.3739416,6.129509956,1.04E-89,-6.129509956
LOC112058299,uncharacterized protein LOC112058299,LOC112058299,546.0934744,6.038218636,1.07E-89,-6.038218636
LOC112048871,ATP-dependent DNA helicase PIF1,PIF1,365.139563,3.501502117,1.45E-89,-3.501502117
LOC112052348,UDP-glucuronosyltransferase 2B2-like,Ugt36D1,1334.460269,-4.499118662,5.81E-89,4.499118662
LOC112058298,protein artichoke,atk,1781.906733,-7.795774244,8.51E-89,7.795774244
LOC112057691,kinetochore protein NDC80 homolog,LOC112057691,651.4953617,4.03207109,1.01E-88,-4.03207109
LOC112051428,flap endonuclease GEN,Gen,366.9121656,5.555804383,1.33E-88,-5.555804383
LOC112047246,kinesin-like protein KIF18A isoform X1,Klp67A,1228.051641,7.739725108,1.90E-88,-7.739725108
LOC112044491,thymosin beta isoform X3,cib,73675.37847,-3.863101293,2.16E-88,3.863101293
LOC112044778,UNC93-like protein MFSD11,CG18549,15044.34543,-6.973044538,2.26E-88,6.973044538
