Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112044778,UNC93-like protein MFSD11,CG18549,7666.465158,5.590547518,1.89E-180,-5.590547518
LOC112050304,larval cuticle protein A2B-like,Ccp84Ag,7418.141804,11.64713676,2.92E-180,-11.64713676
LOC112051179,uncharacterized LOC106113675 precursor,CG5928,3205.379886,9.18916543,4.80E-180,-9.18916543
LOC112051694,actin cytoskeleton-regulatory complex protein pan1 isoform X1,Chro,5754.565983,-1.433222367,1.38E-178,1.433222367
LOC112042926,glutamine synthetase 2 cytoplasmic-like,Gs2,3494.559436,5.277128408,6.60E-177,-5.277128408
LOC112048333,cuticle protein 16.5-like,LOC112048333,16168.76754,11.06795038,8.76E-177,-11.06795038
LOC112058550,chitin deacetylase 2a,verm,73097.92669,4.910228861,3.70E-176,-4.910228861
LOC112053377,myophilin-like,Chd64,12483.71746,3.787161684,4.46E-176,-3.787161684
LOC112046435,bilin-binding protein-like,LOC112046435,118920.0071,-2.970736124,4.85E-175,2.970736124
LOC112055762,zinc finger protein 629-like isoform X1,mamo,1742.220256,-4.822405712,5.83E-175,4.822405712
LOC112044889,phospholipase A1 member A-like,CG18641,2111.434508,10.41229675,1.48E-174,-10.41229675
LOC112051044,heat shock protein beta-1,CG14207,21044.89978,3.098566849,2.85E-172,-3.098566849
LOC112043291,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1-like,Gfat1,11443.44355,3.555600471,1.07E-171,-3.555600471
LOC112058361,putative epidermal cell surface receptor isoform X1,sas,10134.90497,3.126515585,3.47E-171,-3.126515585
LOC112054507,probable serine/threonine-protein kinase DDB_G0282963 isoform X1,Svil-,1500.976895,2.944692624,3.71E-170,-2.944692624
LOC112045305,microtubule-actin cross-linking factor 1 isoform X2,shot,49721.48954,3.368309259,1.55E-169,-3.368309259
LOC112057709,kinesin-like protein Klp61F,Klp61F,3781.013843,-6.359211639,3.14E-169,6.359211639
LOC112058299,uncharacterized protein LOC112058299,LOC112058299,739.1379579,-4.91046217,5.06E-167,4.91046217
LOC112045994,cyclin-A2-like,CycA,4957.19914,-3.09487168,1.21E-166,3.09487168
LOC112051872,G2/mitotic-specific cyclin-B3 isoform X1,CycB3,2863.02156,-5.691059956,2.36E-166,5.691059956
LOC112046440,integumentary mucin C.1-like,CG12947,5342.686478,12.04798188,3.01E-166,-12.04798188
LOC112054528,class A basic helix-loop-helix protein 15-like,dimm,766.0190235,7.675706654,4.66E-166,-7.675706654
LOC112055381,teneurin-m isoform X4,Ten-m,14285.03842,2.071354615,2.32E-165,-2.071354615
LOC112049100,protein MLP1-like isoform X1,LOC112049100,590.2573223,-5.089258964,2.64E-165,5.089258964
